market,arrival_date,price
Mysuru,07-08-2016,456
Muzaffurpur (CC),07-08-2016,
Hyderabad,07-08-2016,414
Ludhiana,07-08-2016,388
Vijayawada,07-08-2016,413
Kolkata (WB),07-08-2016,445
Mumbai (CC),07-08-2016,464
Raipur,07-08-2016,430
Bengaluru (CC),07-08-2016,450
Barwala,07-08-2016,402
Luknow (CC),07-08-2016,440
Asansole,07-08-2016,
Ajmer,07-08-2016,410
Burdwan (CC),07-08-2016,
Brahmapur (OD),07-08-2016,
Chennai (CC),07-08-2016,460
Surat,07-08-2016,
Varanasi (CC),07-08-2016,443
E.Godavari,07-08-2016,413
Delhi (CC),07-08-2016,404
Chittoor,07-08-2016,453
Ahmedabad,07-08-2016,452
Varanasi (CC),08-08-2016,407
Indore (CC),08-08-2016,360
Jabalpur,08-08-2016,357
Kanpur (CC),08-08-2016,371
Luknow (CC),08-08-2016,400
Raipur,08-08-2016,310
Ahmedabad,08-08-2016,390
Ajmer,08-08-2016,327
Brahmapur (OD),08-08-2016,
Asansole,08-08-2016,
Barwala,08-08-2016,330
Surat,08-08-2016,
Bengaluru (CC),08-08-2016,390
Kolkata (WB),08-08-2016,380
Burdwan (CC),08-08-2016,
Hyderabad,08-08-2016,335
Chittoor,08-08-2016,413
Hospet,08-08-2016,355
Bhopal,08-08-2016,350
Warangal,08-08-2016,355
W.Godavari,08-08-2016,353
Vizag,08-08-2016,361
Vijayawada,08-08-2016,353
Ranchi (CC),08-08-2016,
Pune,08-08-2016,390
Chennai (CC),08-08-2016,420
Patna,08-08-2016,
Nagpur,08-08-2016,318
Mysuru,08-08-2016,396
Muzaffurpur (CC),08-08-2016,
Mumbai (CC),08-08-2016,400
Midnapur (KOL),08-08-2016,
Ludhiana,08-08-2016,328
E.Godavari,08-08-2016,353
Delhi (CC),08-08-2016,345
Namakkal,08-08-2016,375
Allahabad (CC),08-08-2016,367
Vizag,09-08-2016,334
Ranchi (CC),09-08-2016,
Burdwan (CC),09-08-2016,
Chennai (CC),09-08-2016,360
Chittoor,09-08-2016,353
Delhi (CC),09-08-2016,346
E.Godavari,09-08-2016,327
Hyderabad,09-08-2016,318
Ludhiana,09-08-2016,331
Indore (CC),09-08-2016,332
Jabalpur,09-08-2016,331
Kanpur (CC),09-08-2016,367
Kolkata (WB),09-08-2016,372
Vijayawada,09-08-2016,327
Raipur,09-08-2016,320
Surat,09-08-2016,
Varanasi (CC),09-08-2016,367
Brahmapur (OD),09-08-2016,
Bengaluru (CC),09-08-2016,335
Luknow (CC),09-08-2016,380
Asansole,09-08-2016,
Barwala,09-08-2016,341
Pune,09-08-2016,336
Patna,09-08-2016,
Namakkal,09-08-2016,345
Nagpur,09-08-2016,310
Muzaffurpur (CC),09-08-2016,
Mumbai (CC),09-08-2016,355
Midnapur (KOL),09-08-2016,
W.Godavari,09-08-2016,327
Warangal,09-08-2016,320
Mysuru,09-08-2016,338
Allahabad (CC),09-08-2016,338
Bhopal,09-08-2016,333
Hospet,09-08-2016,300
Ahmedabad,09-08-2016,344
Ajmer,09-08-2016,330
W.Godavari,10-08-2016,363
Surat,10-08-2016,
Raipur,10-08-2016,345
Luknow (CC),10-08-2016,380
Kolkata (WB),10-08-2016,402
Kanpur (CC),10-08-2016,381
Jabalpur,10-08-2016,350
Bhopal,10-08-2016,353
Hospet,10-08-2016,320
Warangal,10-08-2016,346
Allahabad (CC),10-08-2016,357
Varanasi (CC),10-08-2016,387
Ranchi (CC),10-08-2016,
Vijayawada,10-08-2016,363
Vizag,10-08-2016,372
Indore (CC),10-08-2016,350
Namakkal,10-08-2016,360
Delhi (CC),10-08-2016,353
Mysuru,10-08-2016,361
Ahmedabad,10-08-2016,385
Ajmer,10-08-2016,340
Asansole,10-08-2016,
Barwala,10-08-2016,354
Bengaluru (CC),10-08-2016,355
Patna,10-08-2016,
Brahmapur (OD),10-08-2016,
Nagpur,10-08-2016,337
Burdwan (CC),10-08-2016,
Chittoor,10-08-2016,358
E.Godavari,10-08-2016,363
Hyderabad,10-08-2016,345
Ludhiana,10-08-2016,342
Midnapur (KOL),10-08-2016,
Mumbai (CC),10-08-2016,390
Muzaffurpur (CC),10-08-2016,
Chennai (CC),10-08-2016,365
Pune,10-08-2016,385
Allahabad (CC),11-08-2016,419
Hyderabad,11-08-2016,391
Mysuru,11-08-2016,414
Muzaffurpur (CC),11-08-2016,
Mumbai (CC),11-08-2016,437
Midnapur (KOL),11-08-2016,
Ludhiana,11-08-2016,390
E.Godavari,11-08-2016,395
Nagpur,11-08-2016,400
Delhi (CC),11-08-2016,412
Chennai (CC),11-08-2016,417
Burdwan (CC),11-08-2016,
Brahmapur (OD),11-08-2016,
Bengaluru (CC),11-08-2016,415
Barwala,11-08-2016,403
Asansole,11-08-2016,
Chittoor,11-08-2016,410
Ajmer,11-08-2016,397
Namakkal,11-08-2016,402
Pune,11-08-2016,435
Varanasi (CC),11-08-2016,440
Surat,11-08-2016,
Raipur,11-08-2016,410
Luknow (CC),11-08-2016,447
Kolkata (WB),11-08-2016,437
Kanpur (CC),11-08-2016,438
Jabalpur,11-08-2016,403
Patna,11-08-2016,
Indore (CC),11-08-2016,412
Bhopal,11-08-2016,415
Warangal,11-08-2016,394
W.Godavari,11-08-2016,395
Vizag,11-08-2016,393
Vijayawada,11-08-2016,395
Ranchi (CC),11-08-2016,
Hospet,11-08-2016,380
Ahmedabad,11-08-2016,434
Ahmedabad,12-08-2016,415
Ajmer,12-08-2016,386
Delhi (CC),12-08-2016,403
Namakkal,12-08-2016,390
Nagpur,12-08-2016,385
Muzaffurpur (CC),12-08-2016,
Mumbai (CC),12-08-2016,419
Midnapur (KOL),12-08-2016,
Ludhiana,12-08-2016,378
Hyderabad,12-08-2016,375
E.Godavari,12-08-2016,379
Chittoor,12-08-2016,395
Chennai (CC),12-08-2016,402
Burdwan (CC),12-08-2016,
Brahmapur (OD),12-08-2016,
Bengaluru (CC),12-08-2016,395
Barwala,12-08-2016,388
Asansole,12-08-2016,
Patna,12-08-2016,
Pune,12-08-2016,415
Mysuru,12-08-2016,398
Vijayawada,12-08-2016,379
Varanasi (CC),12-08-2016,433
Surat,12-08-2016,
Raipur,12-08-2016,394
Luknow (CC),12-08-2016,430
Ranchi (CC),12-08-2016,
Kanpur (CC),12-08-2016,419
Jabalpur,12-08-2016,392
Indore (CC),12-08-2016,395
Kolkata (WB),12-08-2016,425
Hospet,12-08-2016,360
Bhopal,12-08-2016,400
Allahabad (CC),12-08-2016,424
Warangal,12-08-2016,377
W.Godavari,12-08-2016,379
Vizag,12-08-2016,380
Mysuru,13-08-2016,376
Nagpur,13-08-2016,295
Namakkal,13-08-2016,355
Patna,13-08-2016,
Pune,13-08-2016,350
Allahabad (CC),13-08-2016,333
Vijayawada,13-08-2016,340
W.Godavari,13-08-2016,340
Muzaffurpur (CC),13-08-2016,
Warangal,13-08-2016,335
Vizag,13-08-2016,350
Ranchi (CC),13-08-2016,
Mumbai (CC),13-08-2016,380
Asansole,13-08-2016,
Ludhiana,13-08-2016,314
Hyderabad,13-08-2016,335
Delhi (CC),13-08-2016,330
Chittoor,13-08-2016,373
Chennai (CC),13-08-2016,380
Burdwan (CC),13-08-2016,
Brahmapur (OD),13-08-2016,
Bengaluru (CC),13-08-2016,370
Ajmer,13-08-2016,322
Barwala,13-08-2016,330
Bhopal,13-08-2016,330
Ahmedabad,13-08-2016,370
Midnapur (KOL),13-08-2016,
Hospet,13-08-2016,335
E.Godavari,13-08-2016,340
Jabalpur,13-08-2016,330
Kanpur (CC),13-08-2016,362
Kolkata (WB),13-08-2016,363
Luknow (CC),13-08-2016,380
Raipur,13-08-2016,310
Surat,13-08-2016,
Varanasi (CC),13-08-2016,367
Indore (CC),13-08-2016,335
Pune,14-08-2016,350
Ranchi (CC),14-08-2016,
Vizag,14-08-2016,350
W.Godavari,14-08-2016,340
Warangal,14-08-2016,335
Allahabad (CC),14-08-2016,333
Bhopal,14-08-2016,330
Hospet,14-08-2016,335
Kolkata (WB),14-08-2016,363
Jabalpur,14-08-2016,330
Kanpur (CC),14-08-2016,362
Patna,14-08-2016,
Luknow (CC),14-08-2016,380
Raipur,14-08-2016,310
Surat,14-08-2016,
Varanasi (CC),14-08-2016,367
Indore (CC),14-08-2016,333
Namakkal,14-08-2016,355
Vijayawada,14-08-2016,340
Mysuru,14-08-2016,376
Ahmedabad,14-08-2016,370
Ajmer,14-08-2016,322
Nagpur,14-08-2016,295
Barwala,14-08-2016,330
Bengaluru (CC),14-08-2016,370
Brahmapur (OD),14-08-2016,
Burdwan (CC),14-08-2016,
Chennai (CC),14-08-2016,380
Chittoor,14-08-2016,373
Asansole,14-08-2016,
E.Godavari,14-08-2016,340
Hyderabad,14-08-2016,335
Ludhiana,14-08-2016,314
Midnapur (KOL),14-08-2016,
Mumbai (CC),14-08-2016,380
Muzaffurpur (CC),14-08-2016,
Delhi (CC),14-08-2016,330
Surat,15-08-2016,
Pune,15-08-2016,350
Ranchi (CC),15-08-2016,
Vijayawada,15-08-2016,330
Vizag,15-08-2016,340
Warangal,15-08-2016,335
Allahabad (CC),15-08-2016,333
Bhopal,15-08-2016,330
Jabalpur,15-08-2016,323
Indore (CC),15-08-2016,332
Kanpur (CC),15-08-2016,362
Kolkata (WB),15-08-2016,363
Luknow (CC),15-08-2016,370
Raipur,15-08-2016,310
Namakkal,15-08-2016,355
Varanasi (CC),15-08-2016,367
Hospet,15-08-2016,335
Nagpur,15-08-2016,295
W.Godavari,15-08-2016,330
Muzaffurpur (CC),15-08-2016,
Mysuru,15-08-2016,376
Ahmedabad,15-08-2016,370
Ajmer,15-08-2016,325
Asansole,15-08-2016,
Barwala,15-08-2016,330
Bengaluru (CC),15-08-2016,370
Brahmapur (OD),15-08-2016,
Burdwan (CC),15-08-2016,
Patna,15-08-2016,
Chittoor,15-08-2016,373
Delhi (CC),15-08-2016,330
E.Godavari,15-08-2016,330
Hyderabad,15-08-2016,335
Ludhiana,15-08-2016,314
Midnapur (KOL),15-08-2016,
Mumbai (CC),15-08-2016,380
Chennai (CC),15-08-2016,380
Pune,16-08-2016,350
Ranchi (CC),16-08-2016,
Vijayawada,16-08-2016,332
Vizag,16-08-2016,342
W.Godavari,16-08-2016,332
Warangal,16-08-2016,335
Allahabad (CC),16-08-2016,333
Bhopal,16-08-2016,325
Kanpur (CC),16-08-2016,362
Indore (CC),16-08-2016,330
Jabalpur,16-08-2016,323
Kolkata (WB),16-08-2016,363
Luknow (CC),16-08-2016,370
Raipur,16-08-2016,310
Surat,16-08-2016,
Varanasi (CC),16-08-2016,367
Hospet,16-08-2016,335
Namakkal,16-08-2016,355
Patna,16-08-2016,
Mysuru,16-08-2016,376
Nagpur,16-08-2016,298
Ahmedabad,16-08-2016,370
Ajmer,16-08-2016,327
Asansole,16-08-2016,
Bengaluru (CC),16-08-2016,370
Brahmapur (OD),16-08-2016,
Burdwan (CC),16-08-2016,
Chennai (CC),16-08-2016,380
Barwala,16-08-2016,332
Delhi (CC),16-08-2016,330
E.Godavari,16-08-2016,332
Hyderabad,16-08-2016,335
Ludhiana,16-08-2016,317
Midnapur (KOL),16-08-2016,
Mumbai (CC),16-08-2016,380
Chittoor,16-08-2016,373
Muzaffurpur (CC),16-08-2016,
Ludhiana,17-08-2016,322
Midnapur (KOL),17-08-2016,
Mumbai (CC),17-08-2016,380
Nagpur,17-08-2016,305
Mysuru,17-08-2016,376
Namakkal,17-08-2016,355
Hyderabad,17-08-2016,335
Muzaffurpur (CC),17-08-2016,
E.Godavari,17-08-2016,332
Ajmer,17-08-2016,335
Chittoor,17-08-2016,373
Chennai (CC),17-08-2016,380
Burdwan (CC),17-08-2016,
Brahmapur (OD),17-08-2016,
Bengaluru (CC),17-08-2016,370
Barwala,17-08-2016,336
Asansole,17-08-2016,
Ahmedabad,17-08-2016,370
Patna,17-08-2016,
Delhi (CC),17-08-2016,338
Pune,17-08-2016,350
Varanasi (CC),17-08-2016,373
Vijayawada,17-08-2016,332
Ranchi (CC),17-08-2016,
Surat,17-08-2016,
Raipur,17-08-2016,316
Kolkata (WB),17-08-2016,365
Kanpur (CC),17-08-2016,371
Jabalpur,17-08-2016,327
Luknow (CC),17-08-2016,370
Hospet,17-08-2016,335
Bhopal,17-08-2016,330
Allahabad (CC),17-08-2016,338
Warangal,17-08-2016,335
W.Godavari,17-08-2016,332
Vizag,17-08-2016,342
Indore (CC),17-08-2016,328
Bhopal,18-08-2016,340
Ranchi (CC),18-08-2016,
Vijayawada,18-08-2016,337
Vizag,18-08-2016,347
W.Godavari,18-08-2016,337
Warangal,18-08-2016,335
Allahabad (CC),18-08-2016,348
Hospet,18-08-2016,335
Surat,18-08-2016,
Jabalpur,18-08-2016,337
Kanpur (CC),18-08-2016,381
Kolkata (WB),18-08-2016,370
Luknow (CC),18-08-2016,370
Raipur,18-08-2016,325
Pune,18-08-2016,350
Varanasi (CC),18-08-2016,380
Indore (CC),18-08-2016,335
Namakkal,18-08-2016,355
Patna,18-08-2016,
Ahmedabad,18-08-2016,372
Nagpur,18-08-2016,305
Ajmer,18-08-2016,345
Asansole,18-08-2016,
Barwala,18-08-2016,346
Bengaluru (CC),18-08-2016,370
Burdwan (CC),18-08-2016,
Chennai (CC),18-08-2016,380
Chittoor,18-08-2016,373
Brahmapur (OD),18-08-2016,
E.Godavari,18-08-2016,337
Hyderabad,18-08-2016,335
Ludhiana,18-08-2016,332
Midnapur (KOL),18-08-2016,
Mumbai (CC),18-08-2016,380
Muzaffurpur (CC),18-08-2016,
Mysuru,18-08-2016,376
Delhi (CC),18-08-2016,346
Bhopal,19-08-2016,350
Ranchi (CC),19-08-2016,
Vijayawada,19-08-2016,344
Vizag,19-08-2016,352
W.Godavari,19-08-2016,344
Warangal,19-08-2016,335
Allahabad (CC),19-08-2016,357
Hospet,19-08-2016,335
Pune,19-08-2016,350
Jabalpur,19-08-2016,347
Kanpur (CC),19-08-2016,381
Kolkata (WB),19-08-2016,370
Luknow (CC),19-08-2016,380
Raipur,19-08-2016,330
Varanasi (CC),19-08-2016,383
Surat,19-08-2016,
Indore (CC),19-08-2016,340
Patna,19-08-2016,
Ajmer,19-08-2016,345
Nagpur,19-08-2016,310
Namakkal,19-08-2016,355
Ahmedabad,19-08-2016,375
Asansole,19-08-2016,
Barwala,19-08-2016,352
Bengaluru (CC),19-08-2016,370
Burdwan (CC),19-08-2016,
Chennai (CC),19-08-2016,380
Chittoor,19-08-2016,373
Brahmapur (OD),19-08-2016,
E.Godavari,19-08-2016,344
Hyderabad,19-08-2016,338
Ludhiana,19-08-2016,343
Midnapur (KOL),19-08-2016,
Mumbai (CC),19-08-2016,380
Muzaffurpur (CC),19-08-2016,
Mysuru,19-08-2016,376
Delhi (CC),19-08-2016,355
Allahabad (CC),20-08-2016,357
Pune,20-08-2016,350
Ranchi (CC),20-08-2016,
Vijayawada,20-08-2016,346
Vizag,20-08-2016,352
W.Godavari,20-08-2016,346
Warangal,20-08-2016,341
Bhopal,20-08-2016,350
Varanasi (CC),20-08-2016,383
Indore (CC),20-08-2016,344
Jabalpur,20-08-2016,347
Kanpur (CC),20-08-2016,390
Kolkata (WB),20-08-2016,380
Luknow (CC),20-08-2016,387
Raipur,20-08-2016,336
Surat,20-08-2016,
Hospet,20-08-2016,335
Patna,20-08-2016,
Mysuru,20-08-2016,378
Nagpur,20-08-2016,312
Namakkal,20-08-2016,360
Ahmedabad,20-08-2016,375
Ajmer,20-08-2016,340
Asansole,20-08-2016,
Barwala,20-08-2016,352
Brahmapur (OD),20-08-2016,
Burdwan (CC),20-08-2016,
Chennai (CC),20-08-2016,380
Bengaluru (CC),20-08-2016,370
Delhi (CC),20-08-2016,356
E.Godavari,20-08-2016,346
Hyderabad,20-08-2016,338
Ludhiana,20-08-2016,343
Midnapur (KOL),20-08-2016,
Mumbai (CC),20-08-2016,380
Muzaffurpur (CC),20-08-2016,
Chittoor,20-08-2016,373
Allahabad (CC),21-08-2016,357
Pune,21-08-2016,350
Ranchi (CC),21-08-2016,
Vijayawada,21-08-2016,346
Vizag,21-08-2016,352
W.Godavari,21-08-2016,346
Warangal,21-08-2016,341
Bhopal,21-08-2016,350
Varanasi (CC),21-08-2016,383
Indore (CC),21-08-2016,344
Jabalpur,21-08-2016,349
Kanpur (CC),21-08-2016,390
Kolkata (WB),21-08-2016,381
Raipur,21-08-2016,340
Surat,21-08-2016,
Patna,21-08-2016,
Hospet,21-08-2016,335
Namakkal,21-08-2016,360
Luknow (CC),21-08-2016,390
Mysuru,21-08-2016,378
Nagpur,21-08-2016,315
Ahmedabad,21-08-2016,375
Ajmer,21-08-2016,340
Asansole,21-08-2016,
Barwala,21-08-2016,352
Brahmapur (OD),21-08-2016,
Burdwan (CC),21-08-2016,
Chennai (CC),21-08-2016,380
Bengaluru (CC),21-08-2016,370
Delhi (CC),21-08-2016,356
E.Godavari,21-08-2016,346
Hyderabad,21-08-2016,338
Ludhiana,21-08-2016,343
Midnapur (KOL),21-08-2016,
Mumbai (CC),21-08-2016,380
Muzaffurpur (CC),21-08-2016,
Chittoor,21-08-2016,373
Allahabad (CC),22-08-2016,357
Ranchi (CC),22-08-2016,
Vijayawada,22-08-2016,346
Vizag,22-08-2016,352
W.Godavari,22-08-2016,346
Warangal,22-08-2016,341
Bhopal,22-08-2016,353
Varanasi (CC),22-08-2016,383
Indore (CC),22-08-2016,340
Jabalpur,22-08-2016,351
Kanpur (CC),22-08-2016,390
Kolkata (WB),22-08-2016,381
Luknow (CC),22-08-2016,390
Raipur,22-08-2016,342
Surat,22-08-2016,
Pune,22-08-2016,350
Hospet,22-08-2016,335
Patna,22-08-2016,
Mumbai (CC),22-08-2016,380
Nagpur,22-08-2016,320
Ahmedabad,22-08-2016,375
Ajmer,22-08-2016,337
Namakkal,22-08-2016,360
Barwala,22-08-2016,352
Bengaluru (CC),22-08-2016,370
Brahmapur (OD),22-08-2016,
Burdwan (CC),22-08-2016,
Chennai (CC),22-08-2016,380
Asansole,22-08-2016,
Delhi (CC),22-08-2016,356
E.Godavari,22-08-2016,346
Hyderabad,22-08-2016,338
Ludhiana,22-08-2016,339
Midnapur (KOL),22-08-2016,
Muzaffurpur (CC),22-08-2016,
Mysuru,22-08-2016,378
Chittoor,22-08-2016,373
E.Godavari,23-08-2016,346
Delhi (CC),23-08-2016,350
Chittoor,23-08-2016,373
Chennai (CC),23-08-2016,380
Ajmer,23-08-2016,335
Barwala,23-08-2016,345
Asansole,23-08-2016,
Ahmedabad,23-08-2016,375
Hyderabad,23-08-2016,338
Bengaluru (CC),23-08-2016,370
Ludhiana,23-08-2016,333
Burdwan (CC),23-08-2016,
Mumbai (CC),23-08-2016,380
Vijayawada,23-08-2016,346
Vizag,23-08-2016,352
W.Godavari,23-08-2016,346
Warangal,23-08-2016,341
Allahabad (CC),23-08-2016,352
Hospet,23-08-2016,335
Ranchi (CC),23-08-2016,
Indore (CC),23-08-2016,344
Kanpur (CC),23-08-2016,381
Kolkata (WB),23-08-2016,381
Luknow (CC),23-08-2016,390
Raipur,23-08-2016,342
Surat,23-08-2016,
Varanasi (CC),23-08-2016,378
Jabalpur,23-08-2016,351
Pune,23-08-2016,350
Bhopal,23-08-2016,353
Muzaffurpur (CC),23-08-2016,
Mysuru,23-08-2016,378
Nagpur,23-08-2016,320
Namakkal,23-08-2016,360
Patna,23-08-2016,
Midnapur (KOL),23-08-2016,
Brahmapur (OD),23-08-2016,
Luknow (CC),24-08-2016,390
Delhi (CC),24-08-2016,350
E.Godavari,24-08-2016,346
Hyderabad,24-08-2016,338
Ludhiana,24-08-2016,333
Midnapur (KOL),24-08-2016,
Mumbai (CC),24-08-2016,380
Muzaffurpur (CC),24-08-2016,
Mysuru,24-08-2016,378
Nagpur,24-08-2016,320
Namakkal,24-08-2016,360
Patna,24-08-2016,
Pune,24-08-2016,350
Kolkata (WB),24-08-2016,372
Ranchi (CC),24-08-2016,
Vizag,24-08-2016,352
W.Godavari,24-08-2016,346
Allahabad (CC),24-08-2016,352
Bhopal,24-08-2016,350
Hospet,24-08-2016,335
Indore (CC),24-08-2016,340
Jabalpur,24-08-2016,345
Kanpur (CC),24-08-2016,381
Varanasi (CC),24-08-2016,378
Surat,24-08-2016,
Raipur,24-08-2016,342
Chittoor,24-08-2016,373
Vijayawada,24-08-2016,346
Warangal,24-08-2016,341
Barwala,24-08-2016,345
Chennai (CC),24-08-2016,380
Ahmedabad,24-08-2016,375
Ajmer,24-08-2016,335
Burdwan (CC),24-08-2016,
Bengaluru (CC),24-08-2016,370
Brahmapur (OD),24-08-2016,
Asansole,24-08-2016,
Warangal,25-08-2016,341
Allahabad (CC),25-08-2016,348
Bhopal,25-08-2016,345
Hospet,25-08-2016,335
Indore (CC),25-08-2016,335
Jabalpur,25-08-2016,345
Kanpur (CC),25-08-2016,381
W.Godavari,25-08-2016,334
Raipur,25-08-2016,342
Surat,25-08-2016,
Varanasi (CC),25-08-2016,378
Ranchi (CC),25-08-2016,
Kolkata (WB),25-08-2016,372
Luknow (CC),25-08-2016,390
Barwala,25-08-2016,345
Vizag,25-08-2016,340
Pune,25-08-2016,340
Patna,25-08-2016,
Namakkal,25-08-2016,360
Nagpur,25-08-2016,320
Mysuru,25-08-2016,378
Muzaffurpur (CC),25-08-2016,
Mumbai (CC),25-08-2016,375
Midnapur (KOL),25-08-2016,
Ludhiana,25-08-2016,333
Hyderabad,25-08-2016,338
E.Godavari,25-08-2016,334
Delhi (CC),25-08-2016,350
Chittoor,25-08-2016,373
Chennai (CC),25-08-2016,380
Burdwan (CC),25-08-2016,
Brahmapur (OD),25-08-2016,
Bengaluru (CC),25-08-2016,370
Asansole,25-08-2016,
Ajmer,25-08-2016,335
Ahmedabad,25-08-2016,360
Vijayawada,25-08-2016,334
Ranchi (CC),26-08-2016,
Vijayawada,26-08-2016,334
Vizag,26-08-2016,340
W.Godavari,26-08-2016,334
Warangal,26-08-2016,341
Allahabad (CC),26-08-2016,348
Bhopal,26-08-2016,345
Hospet,26-08-2016,335
Hyderabad,26-08-2016,338
E.Godavari,26-08-2016,334
Ludhiana,26-08-2016,333
Indore (CC),26-08-2016,335
Jabalpur,26-08-2016,341
Kanpur (CC),26-08-2016,381
Kolkata (WB),26-08-2016,372
Luknow (CC),26-08-2016,390
Raipur,26-08-2016,335
Varanasi (CC),26-08-2016,378
Ahmedabad,26-08-2016,360
Ajmer,26-08-2016,335
Midnapur (KOL),26-08-2016,
Pune,26-08-2016,340
Surat,26-08-2016,
Chittoor,26-08-2016,373
Bengaluru (CC),26-08-2016,370
Brahmapur (OD),26-08-2016,
Burdwan (CC),26-08-2016,
Chennai (CC),26-08-2016,380
Delhi (CC),26-08-2016,350
Mumbai (CC),26-08-2016,375
Barwala,26-08-2016,345
Muzaffurpur (CC),26-08-2016,
Asansole,26-08-2016,
Mysuru,26-08-2016,378
Patna,26-08-2016,
Namakkal,26-08-2016,360
Nagpur,26-08-2016,320
Burdwan (CC),27-08-2016,
Pune,27-08-2016,340
Ranchi (CC),27-08-2016,
Vijayawada,27-08-2016,334
Vizag,27-08-2016,340
W.Godavari,27-08-2016,334
Warangal,27-08-2016,341
Allahabad (CC),27-08-2016,348
Bhopal,27-08-2016,340
Patna,27-08-2016,
Namakkal,27-08-2016,360
Muzaffurpur (CC),27-08-2016,
Mysuru,27-08-2016,378
Chennai (CC),27-08-2016,380
Hospet,27-08-2016,335
Mumbai (CC),27-08-2016,375
Midnapur (KOL),27-08-2016,
Ludhiana,27-08-2016,333
Hyderabad,27-08-2016,338
E.Godavari,27-08-2016,334
Bengaluru (CC),27-08-2016,370
Brahmapur (OD),27-08-2016,
Nagpur,27-08-2016,320
Jabalpur,27-08-2016,337
Delhi (CC),27-08-2016,350
Asansole,27-08-2016,
Kanpur (CC),27-08-2016,381
Kolkata (WB),27-08-2016,365
Luknow (CC),27-08-2016,390
Raipur,27-08-2016,329
Surat,27-08-2016,
Indore (CC),27-08-2016,333
Varanasi (CC),27-08-2016,378
Chittoor,27-08-2016,373
Ahmedabad,27-08-2016,360
Barwala,27-08-2016,345
Ajmer,27-08-2016,335
Varanasi (CC),28-08-2016,378
Surat,28-08-2016,
Raipur,28-08-2016,329
Luknow (CC),28-08-2016,390
Ranchi (CC),28-08-2016,
Kolkata (WB),28-08-2016,358
Kanpur (CC),28-08-2016,381
Jabalpur,28-08-2016,335
Indore (CC),28-08-2016,335
Hospet,28-08-2016,335
Bhopal,28-08-2016,340
Warangal,28-08-2016,341
W.Godavari,28-08-2016,334
Vizag,28-08-2016,340
Namakkal,28-08-2016,360
Patna,28-08-2016,
Pune,28-08-2016,340
Vijayawada,28-08-2016,328
Allahabad (CC),28-08-2016,348
Chittoor,28-08-2016,373
Ludhiana,28-08-2016,333
Muzaffurpur (CC),28-08-2016,
Mumbai (CC),28-08-2016,375
Midnapur (KOL),28-08-2016,
Hyderabad,28-08-2016,338
Delhi (CC),28-08-2016,350
Mysuru,28-08-2016,378
E.Godavari,28-08-2016,328
Nagpur,28-08-2016,315
Ajmer,28-08-2016,328
Asansole,28-08-2016,
Barwala,28-08-2016,345
Bengaluru (CC),28-08-2016,370
Brahmapur (OD),28-08-2016,
Burdwan (CC),28-08-2016,
Chennai (CC),28-08-2016,380
Ahmedabad,28-08-2016,360
Brahmapur (OD),29-08-2016,
Bengaluru (CC),29-08-2016,370
Barwala,29-08-2016,335
Burdwan (CC),29-08-2016,
Surat,29-08-2016,
Ajmer,29-08-2016,328
Chennai (CC),29-08-2016,380
Asansole,29-08-2016,
Ahmedabad,29-08-2016,360
Chittoor,29-08-2016,373
Delhi (CC),29-08-2016,342
E.Godavari,29-08-2016,328
Raipur,29-08-2016,329
Luknow (CC),29-08-2016,390
Kolkata (WB),29-08-2016,358
Kanpur (CC),29-08-2016,367
Jabalpur,29-08-2016,330
Indore (CC),29-08-2016,335
Hospet,29-08-2016,335
Bhopal,29-08-2016,335
Allahabad (CC),29-08-2016,343
Warangal,29-08-2016,341
Vizag,29-08-2016,340
Vijayawada,29-08-2016,328
Ranchi (CC),29-08-2016,
Pune,29-08-2016,340
Patna,29-08-2016,
Namakkal,29-08-2016,340
Nagpur,29-08-2016,310
Mysuru,29-08-2016,355
Muzaffurpur (CC),29-08-2016,
Mumbai (CC),29-08-2016,375
Midnapur (KOL),29-08-2016,
Ludhiana,29-08-2016,328
Hyderabad,29-08-2016,318
Varanasi (CC),29-08-2016,378
W.Godavari,29-08-2016,328
Mumbai (CC),30-08-2016,355
Asansole,30-08-2016,
Patna,30-08-2016,
Namakkal,30-08-2016,340
Nagpur,30-08-2016,310
Mysuru,30-08-2016,355
Muzaffurpur (CC),30-08-2016,
Ajmer,30-08-2016,325
Midnapur (KOL),30-08-2016,
Ludhiana,30-08-2016,324
Hyderabad,30-08-2016,318
E.Godavari,30-08-2016,328
Delhi (CC),30-08-2016,342
Chittoor,30-08-2016,353
Chennai (CC),30-08-2016,360
Burdwan (CC),30-08-2016,
Brahmapur (OD),30-08-2016,
Pune,30-08-2016,330
Ranchi (CC),30-08-2016,
Bengaluru (CC),30-08-2016,350
Vizag,30-08-2016,340
Vijayawada,30-08-2016,328
Barwala,30-08-2016,335
Varanasi (CC),30-08-2016,367
Surat,30-08-2016,
Raipur,30-08-2016,322
Luknow (CC),30-08-2016,390
Kolkata (WB),30-08-2016,358
Ahmedabad,30-08-2016,340
Jabalpur,30-08-2016,325
Indore (CC),30-08-2016,338
Hospet,30-08-2016,315
Bhopal,30-08-2016,330
Allahabad (CC),30-08-2016,343
Warangal,30-08-2016,320
W.Godavari,30-08-2016,328
Kanpur (CC),30-08-2016,367
Vizag,31-08-2016,332
W.Godavari,31-08-2016,320
Warangal,31-08-2016,320
Allahabad (CC),31-08-2016,343
Bhopal,31-08-2016,335
