market,arrival_date,price
Ahmedabad,05-01-2016,336
Midnapur (KOL),05-01-2016,
Indore (CC),05-01-2016,300
Muzaffurpur (CC),05-01-2016,
Allahabad (CC),05-01-2016,314
Vizag,05-01-2016,292
W.Godavari,05-01-2016,285
Warangal,05-01-2016,299
Bhopal,05-01-2016,310
Hospet,05-01-2016,295
Warangal,06-01-2016,350
Allahabad (CC),06-01-2016,371
Bhopal,06-01-2016,365
Hospet,06-01-2016,360
Indore (CC),06-01-2016,342
Jabalpur,06-01-2016,366
Luknow (CC),06-01-2016,380
Kolkata (WB),06-01-2016,379
W.Godavari,06-01-2016,350
Raipur,06-01-2016,371
Surat,06-01-2016,
Varanasi (CC),06-01-2016,390
Burdwan (CC),06-01-2016,
Kanpur (CC),06-01-2016,367
Vizag,06-01-2016,360
Brahmapur (OD),06-01-2016,
Ranchi (CC),06-01-2016,
Vijayawada,06-01-2016,350
Bengaluru (CC),06-01-2016,395
Barwala,06-01-2016,348
Asansole,06-01-2016,
Ahmedabad,06-01-2016,375
Chennai (CC),06-01-2016,420
Chittoor,06-01-2016,413
Delhi (CC),06-01-2016,354
E.Godavari,06-01-2016,350
Ajmer,06-01-2016,340
Ludhiana,06-01-2016,338
Midnapur (KOL),06-01-2016,
Mumbai (CC),06-01-2016,382
Muzaffurpur (CC),06-01-2016,
Mysuru,06-01-2016,412
Nagpur,06-01-2016,356
Namakkal,06-01-2016,390
Patna,06-01-2016,
Hyderabad,06-01-2016,347
Pune,06-01-2016,382
Ranchi (CC),07-01-2016,
Vijayawada,07-01-2016,411
Vizag,07-01-2016,416
W.Godavari,07-01-2016,411
Warangal,07-01-2016,416
Allahabad (CC),07-01-2016,423
Jabalpur,07-01-2016,427
Hospet,07-01-2016,415
Indore (CC),07-01-2016,415
Pune,07-01-2016,467
Kanpur (CC),07-01-2016,419
Kolkata (WB),07-01-2016,445
Luknow (CC),07-01-2016,440
Raipur,07-01-2016,420
Bhopal,07-01-2016,430
Patna,07-01-2016,
Mumbai (CC),07-01-2016,464
Nagpur,07-01-2016,421
Surat,07-01-2016,
Asansole,07-01-2016,
Barwala,07-01-2016,398
Bengaluru (CC),07-01-2016,450
Brahmapur (OD),07-01-2016,
Burdwan (CC),07-01-2016,
Namakkal,07-01-2016,435
Chennai (CC),07-01-2016,460
E.Godavari,07-01-2016,411
Hyderabad,07-01-2016,414
Ludhiana,07-01-2016,383
Midnapur (KOL),07-01-2016,
Muzaffurpur (CC),07-01-2016,
Mysuru,07-01-2016,456
Chittoor,07-01-2016,453
Delhi (CC),07-01-2016,398
Varanasi (CC),07-01-2016,433
Ajmer,07-01-2016,395
Ahmedabad,07-01-2016,452
Luknow (CC),08-01-2016,450
Patna,08-01-2016,
Pune,08-01-2016,450
Ranchi (CC),08-01-2016,
Vijayawada,08-01-2016,407
Vizag,08-01-2016,416
W.Godavari,08-01-2016,407
Raipur,08-01-2016,410
Warangal,08-01-2016,400
Bhopal,08-01-2016,410
Hospet,08-01-2016,405
Indore (CC),08-01-2016,395
Jabalpur,08-01-2016,405
Kanpur (CC),08-01-2016,409
Kolkata (WB),08-01-2016,433
Namakkal,08-01-2016,435
Allahabad (CC),08-01-2016,405
Nagpur,08-01-2016,400
Muzaffurpur (CC),08-01-2016,
Ahmedabad,08-01-2016,450
Ajmer,08-01-2016,373
Asansole,08-01-2016,
Barwala,08-01-2016,380
Bengaluru (CC),08-01-2016,440
Brahmapur (OD),08-01-2016,
Burdwan (CC),08-01-2016,
Chennai (CC),08-01-2016,460
Chittoor,08-01-2016,453
Delhi (CC),08-01-2016,380
E.Godavari,08-01-2016,407
Hyderabad,08-01-2016,396
Ludhiana,08-01-2016,362
Midnapur (KOL),08-01-2016,
Mumbai (CC),08-01-2016,455
Mysuru,08-01-2016,456
Surat,08-01-2016,
Varanasi (CC),08-01-2016,417
Ahmedabad,09-01-2016,344
Patna,09-01-2016,
Pune,09-01-2016,332
Ranchi (CC),09-01-2016,
Vijayawada,09-01-2016,320
Vizag,09-01-2016,332
W.Godavari,09-01-2016,320
Warangal,09-01-2016,320
Allahabad (CC),09-01-2016,343
Bhopal,09-01-2016,335
Hospet,09-01-2016,300
Indore (CC),09-01-2016,335
Jabalpur,09-01-2016,337
Kanpur (CC),09-01-2016,367
Kolkata (WB),09-01-2016,355
Luknow (CC),09-01-2016,390
Namakkal,09-01-2016,340
Raipur,09-01-2016,330
Nagpur,09-01-2016,318
Varanasi (CC),09-01-2016,370
Ajmer,09-01-2016,335
Asansole,09-01-2016,
Barwala,09-01-2016,341
Bengaluru (CC),09-01-2016,335
Brahmapur (OD),09-01-2016,
Burdwan (CC),09-01-2016,
Chennai (CC),09-01-2016,360
Chittoor,09-01-2016,353
Delhi (CC),09-01-2016,345
E.Godavari,09-01-2016,320
Hyderabad,09-01-2016,318
Ludhiana,09-01-2016,331
Midnapur (KOL),09-01-2016,
Mumbai (CC),09-01-2016,355
Muzaffurpur (CC),09-01-2016,
Mysuru,09-01-2016,335
Surat,09-01-2016,
Varanasi (CC),10-01-2016,380
Surat,10-01-2016,
Muzaffurpur (CC),10-01-2016,
Mumbai (CC),10-01-2016,390
Midnapur (KOL),10-01-2016,
Ludhiana,10-01-2016,336
Hyderabad,10-01-2016,345
E.Godavari,10-01-2016,363
Chittoor,10-01-2016,358
Chennai (CC),10-01-2016,365
Burdwan (CC),10-01-2016,
Brahmapur (OD),10-01-2016,
Bengaluru (CC),10-01-2016,365
Barwala,10-01-2016,352
Asansole,10-01-2016,
Ajmer,10-01-2016,337
Ahmedabad,10-01-2016,385
Mysuru,10-01-2016,368
Nagpur,10-01-2016,340
Delhi (CC),10-01-2016,350
Patna,10-01-2016,
Namakkal,10-01-2016,350
Luknow (CC),10-01-2016,390
Kolkata (WB),10-01-2016,402
Kanpur (CC),10-01-2016,381
Jabalpur,10-01-2016,350
Indore (CC),10-01-2016,340
Hospet,10-01-2016,330
Bhopal,10-01-2016,355
Raipur,10-01-2016,350
Warangal,10-01-2016,346
W.Godavari,10-01-2016,363
Vizag,10-01-2016,372
Vijayawada,10-01-2016,363
Ranchi (CC),10-01-2016,
Pune,10-01-2016,385
